DFA->31099
NFA->2523
Creation time    DFA->29337632044 NFA->255921509
Browsing->(0)   DFA->29724382 NFA->449721616
Browsing->(1)   DFA->8442339 NFA->218256359
Browsing->(2)   DFA->4927153 NFA->162012716
Browsing->(3)   DFA->3853772 NFA->155253381
Browsing->(4)   DFA->3303277 NFA->181509995
Browsing->(5)   DFA->3893694 NFA->154940012
Browsing->(6)   DFA->4153932 NFA->142640896
Browsing->(7)   DFA->3928511 NFA->183832947
Browsing->(8)   DFA->2877048 NFA->75371729
Browsing->(9)   DFA->3371715 NFA->96775637
Browsing->(10)   DFA->3609442 NFA->171412272
Browsing->(11)   DFA->3669771 NFA->110438082
Browsing->(12)   DFA->3913804 NFA->134504120
Browsing->(13)   DFA->6210639 NFA->205578737
Browsing->(14)   DFA->3999954 NFA->125402931
Browsing->(15)   DFA->3804845 NFA->177133645
Browsing->(16)   DFA->3463564 NFA->100595489
Browsing->(17)   DFA->3808447 NFA->123860700
Browsing->(18)   DFA->3368112 NFA->152146107
Browsing->(19)   DFA->3941422 NFA->118003951
Browsing->(20)   DFA->3096166 NFA->84598090
Browsing->(21)   DFA->3483073 NFA->100094819
Browsing->(22)   DFA->4164141 NFA->162220424
Browsing->(23)   DFA->3989442 NFA->116541267
Browsing->(24)   DFA->4008955 NFA->121203971
Browsing->(25)   DFA->55651121 NFA->93147587
Browsing->(26)   DFA->3177511 NFA->83752833
Browsing->(27)   DFA->3915305 NFA->117828660
Browsing->(28)   DFA->3588432 NFA->158661111
Browsing->(29)   DFA->3371714 NFA->100646217
Browsing->(30)   DFA->4160537 NFA->126838304
Browsing->(31)   DFA->3478271 NFA->144308895
Browsing->(32)   DFA->3503785 NFA->102138319
Browsing->(33)   DFA->4034168 NFA->120126097
Browsing->(34)   DFA->3948628 NFA->171503216
Browsing->(35)   DFA->3828858 NFA->108467523
Browsing->(36)   DFA->3800042 NFA->108878443
Browsing->(37)   DFA->3311381 NFA->101295468
Browsing->(38)   DFA->3780534 NFA->152635071
Browsing->(39)   DFA->3764325 NFA->108562375
Browsing->(40)   DFA->3468363 NFA->101769720
Browsing->(41)   DFA->3903598 NFA->157032435
Browsing->(42)   DFA->4121819 NFA->112015728
Browsing->(43)   DFA->3145093 NFA->94898423
Browsing->(44)   DFA->2445418 NFA->60122628
Browsing->(45)   DFA->22920025 NFA->98730287
Browsing->(46)   DFA->3286767 NFA->90635533
Browsing->(47)   DFA->3585426 NFA->122626136
Browsing->(48)   DFA->3304180 NFA->110547642
Browsing->(49)   DFA->3723804 NFA->112139401
Browsing->(50)   DFA->3716297 NFA->120544517
Browsing->(51)   DFA->3637351 NFA->113143739
Browsing->(52)   DFA->3166702 NFA->86712126
Browsing->(53)   DFA->2971297 NFA->88942324
Browsing->(54)   DFA->3023527 NFA->92249803
Browsing->(55)   DFA->3848969 NFA->119883260
Browsing->(56)   DFA->3514589 NFA->109476365
Browsing->(57)   DFA->3293071 NFA->100213383
Browsing->(58)   DFA->3351301 NFA->93368207
Browsing->(59)   DFA->3652063 NFA->98754302
Browsing->(60)   DFA->3706692 NFA->118284001
Browsing->(61)   DFA->3737608 NFA->109410931
Browsing->(62)   DFA->3877784 NFA->136106383
Browsing->(63)   DFA->4711634 NFA->119551283
Browsing->(64)   DFA->3250448 NFA->77193713
Browsing->(65)   DFA->3593532 NFA->94858505
Browsing->(66)   DFA->3673376 NFA->100242198
Browsing->(67)   DFA->3591732 NFA->110798277
Browsing->(68)   DFA->3599238 NFA->109377614
Browsing->(69)   DFA->3301775 NFA->114480355
Browsing->(70)   DFA->3541005 NFA->105839313
Browsing->(71)   DFA->4831400 NFA->138292160
Browsing->(72)   DFA->3716295 NFA->124741973
Browsing->(73)   DFA->3866377 NFA->129020172
Browsing->(74)   DFA->3582727 NFA->109192710
Browsing->(75)   DFA->3602841 NFA->108200980
Browsing->(76)   DFA->3151993 NFA->87769894
Browsing->(77)   DFA->3311082 NFA->103201191
Browsing->(78)   DFA->3608537 NFA->109947022
Browsing->(79)   DFA->3501984 NFA->101770620
Browsing->(80)   DFA->3115076 NFA->87594599
Browsing->(81)   DFA->3385821 NFA->110728338
Browsing->(82)   DFA->3232138 NFA->104399735
Browsing->(83)   DFA->2867440 NFA->77628341
Browsing->(84)   DFA->3425742 NFA->94154927
Browsing->(85)   DFA->4023964 NFA->133441251
Browsing->(86)   DFA->3717498 NFA->118297810
Browsing->(87)   DFA->3209024 NFA->91333412
Browsing->(88)   DFA->3261552 NFA->88274466
Browsing->(89)   DFA->3690787 NFA->124443014
Browsing->(90)   DFA->3830961 NFA->118483608
Browsing->(91)   DFA->3613339 NFA->105414882
Browsing->(92)   DFA->4136520 NFA->141123584
Browsing->(93)   DFA->4049781 NFA->125074854
Browsing->(94)   DFA->2946082 NFA->82802223
Browsing->(95)   DFA->4093902 NFA->133929916
Browsing->(96)   DFA->3105465 NFA->88230042
Browsing->(97)   DFA->3672178 NFA->111613214
Browsing->(98)   DFA->3053844 NFA->95839734
Browsing->(99)   DFA->3486676 NFA->111906772
Browsing->(100)   DFA->3376215 NFA->98419018
Browsing->(101)   DFA->3939318 NFA->132218091
Browsing->(102)   DFA->4176145 NFA->127152869
Browsing->(103)   DFA->3467765 NFA->101955821
Browsing->(104)   DFA->3224935 NFA->77884378
Browsing->(105)   DFA->4048276 NFA->110883820
Browsing->(106)   DFA->3186512 NFA->94162435
Browsing->(107)   DFA->3922809 NFA->132066211
Browsing->(108)   DFA->3107873 NFA->88606740
Browsing->(109)   DFA->3152593 NFA->79284631
Browsing->(110)   DFA->3273859 NFA->93898891
Browsing->(111)   DFA->3634352 NFA->102330423
Browsing->(112)   DFA->3580629 NFA->124353262
Browsing->(113)   DFA->2964697 NFA->83919123
Browsing->(114)   DFA->3849269 NFA->117757819
Browsing->(115)   DFA->3140586 NFA->93274255
Browsing->(116)   DFA->2954791 NFA->89942465
Browsing->(117)   DFA->3831864 NFA->121469015
Browsing->(118)   DFA->3763120 NFA->117548305
Browsing->(119)   DFA->3743310 NFA->120880398
Browsing->(120)   DFA->3522094 NFA->100161757
Browsing->(121)   DFA->3332689 NFA->101632546
Browsing->(122)   DFA->3201220 NFA->92279818
Browsing->(123)   DFA->3898196 NFA->137396175
Browsing->(124)   DFA->3696789 NFA->116927270
Browsing->(125)   DFA->4048278 NFA->126090897
Browsing->(126)   DFA->3273262 NFA->106542286
Browsing->(127)   DFA->3940216 NFA->131448479
Browsing->(128)   DFA->3759820 NFA->115525518
Browsing->(129)   DFA->3357305 NFA->83921823
Browsing->(130)   DFA->3386122 NFA->110694722
Browsing->(131)   DFA->3781736 NFA->119030507
Browsing->(132)   DFA->3832460 NFA->129045389
Browsing->(133)   DFA->4117016 NFA->142952166
