DFA->8291
NFA->114
Creation time    DFA->627052466 NFA->15579577
Browsing->(0)   DFA->126662707 NFA->67563928
Browsing->(1)   DFA->141371216 NFA->25350732
Browsing->(2)   DFA->140701558 NFA->29866056
Browsing->(3)   DFA->76737462 NFA->28162945
Browsing->(4)   DFA->71699553 NFA->50318456
Browsing->(5)   DFA->64377413 NFA->27258258
Browsing->(6)   DFA->61882775 NFA->27161004
Browsing->(7)   DFA->63690947 NFA->25542835
Browsing->(8)   DFA->63823916 NFA->23975393
Browsing->(9)   DFA->63654926 NFA->19072255
Browsing->(10)   DFA->57309816 NFA->16736099
Browsing->(11)   DFA->56487674 NFA->13050716
Browsing->(12)   DFA->57759155 NFA->16510979
Browsing->(13)   DFA->58652436 NFA->17032658
Browsing->(14)   DFA->57487210 NFA->15596989
Browsing->(15)   DFA->56363406 NFA->16478560
Browsing->(16)   DFA->56156294 NFA->14995763
Browsing->(17)   DFA->56246942 NFA->17165030
Browsing->(18)   DFA->56104967 NFA->15795998
Browsing->(19)   DFA->56048836 NFA->16418228
Browsing->(20)   DFA->56008916 NFA->18153160
Browsing->(21)   DFA->57781670 NFA->15449906
Browsing->(22)   DFA->56084558 NFA->16260341
Browsing->(23)   DFA->56644960 NFA->17056671
Browsing->(24)   DFA->56405730 NFA->13420515
Browsing->(25)   DFA->56693583 NFA->14028344
Browsing->(26)   DFA->55781994 NFA->15033283
Browsing->(27)   DFA->61338581 NFA->14145106
Browsing->(28)   DFA->56186610 NFA->14873898
Browsing->(29)   DFA->56058143 NFA->15657617
Browsing->(30)   DFA->55971697 NFA->14887405
Browsing->(31)   DFA->56524894 NFA->13173783
Browsing->(32)   DFA->56136484 NFA->17826585
Browsing->(33)   DFA->56238841 NFA->14657484
Browsing->(34)   DFA->57575157 NFA->15946674
Browsing->(35)   DFA->56544705 NFA->15883043
Browsing->(36)   DFA->56069548 NFA->16741503
Browsing->(37)   DFA->55933877 NFA->12568357
Browsing->(38)   DFA->56130482 NFA->16615734
Browsing->(39)   DFA->56124481 NFA->14051759
Browsing->(40)   DFA->56856571 NFA->31917363
Browsing->(41)   DFA->56692085 NFA->13929590
Browsing->(42)   DFA->56559714 NFA->11544507
Browsing->(43)   DFA->56573220 NFA->16039426
Browsing->(44)   DFA->56581620 NFA->16711784
Browsing->(45)   DFA->56821753 NFA->9027953
Browsing->(46)   DFA->56724501 NFA->13032706
Browsing->(47)   DFA->56481071 NFA->12260990
