->>>>IterationNumber<<<<--- : 10
DFA->11
NFA->6
Creation time    DFA->5160975 NFA->1957953
Browsing->(0/1000)   DFA->1113598 NFA->1281989
Browsing->(1/1000)   DFA->207711 NFA->519579
Browsing->(2/1000)   DFA->162086 NFA->512377
Browsing->(3/1000)   DFA->151883 NFA->424428
Browsing->(4/1000)   DFA->162688 NFA->578112
Browsing->(5/1000)   DFA->122166 NFA->353289
Browsing->(6/1000)   DFA->116163 NFA->351188
Browsing->(7/1000)   DFA->111360 NFA->344586
Browsing->(8/1000)   DFA->120365 NFA->346086
Browsing->(9/1000)   DFA->193904 NFA->853659
Browsing->(10/1000)   DFA->185500 NFA->531284
Browsing->(11/1000)   DFA->243433 NFA->817939
Browsing->(12/1000)   DFA->126068 NFA->343985
Browsing->(13/1000)   DFA->117063 NFA->332880
Browsing->(14/1000)   DFA->215516 NFA->519279
Browsing->(15/1000)   DFA->107157 NFA->329277
Browsing->(16/1000)   DFA->146479 NFA->464051
Browsing->(17/1000)   DFA->142577 NFA->463748
Browsing->(18/1000)   DFA->150380 NFA->596121
Browsing->(19/1000)   DFA->114061 NFA->317571
Browsing->(20/1000)   DFA->138975 NFA->467050
Browsing->(21/1000)   DFA->100555 NFA->363193
Browsing->(22/1000)   DFA->99954 NFA->322673
Browsing->(23/1000)   DFA->121565 NFA->324775
Browsing->(24/1000)   DFA->106257 NFA->315171
Browsing->(25/1000)   DFA->138075 NFA->471853
Browsing->(26/1000)   DFA->101154 NFA->337383
Browsing->(27/1000)   DFA->138373 NFA->470353
Browsing->(28/1000)   DFA->139575 NFA->464650
Browsing->(29/1000)   DFA->145578 NFA->473956
Browsing->(30/1000)   DFA->136573 NFA->484762
Browsing->(31/1000)   DFA->99653 NFA->339784
Browsing->(32/1000)   DFA->100553 NFA->289956
Browsing->(33/1000)   DFA->101454 NFA->93951
Browsing->(34/1000)   DFA->69336 NFA->137774
Browsing->(35/1000)   DFA->20711 NFA->100253
Browsing->(36/1000)   DFA->19810 NFA->102957
Browsing->(37/1000)   DFA->29116 NFA->126668
Browsing->(38/1000)   DFA->21312 NFA->89447
Browsing->(39/1000)   DFA->20711 NFA->87946
Browsing->(40/1000)   DFA->25814 NFA->141677
Browsing->(41/1000)   DFA->22812 NFA->58230
Browsing->(42/1000)   DFA->20411 NFA->98453
Browsing->(43/1000)   DFA->29716 NFA->132072
Browsing->(44/1000)   DFA->27015 NFA->136574
Browsing->(45/1000)   DFA->27914 NFA->130268
Browsing->(46/1000)   DFA->19210 NFA->88248
Browsing->(47/1000)   DFA->24613 NFA->126367
Browsing->(48/1000)   DFA->20410 NFA->94552
Browsing->(49/1000)   DFA->21011 NFA->91850
Browsing->(50/1000)   DFA->18611 NFA->90949
Browsing->(51/1000)   DFA->25513 NFA->133271
Browsing->(52/1000)   DFA->18610 NFA->87047
Browsing->(53/1000)   DFA->25514 NFA->138974
Browsing->(54/1000)   DFA->28216 NFA->136873
Browsing->(55/1000)   DFA->29115 NFA->142878
Browsing->(56/1000)   DFA->27016 NFA->133273
Browsing->(57/1000)   DFA->25812 NFA->165090
Browsing->(58/1000)   DFA->34818 NFA->127569
Browsing->(59/1000)   DFA->23713 NFA->171092
Browsing->(60/1000)   DFA->32417 NFA->128471
Browsing->(61/1000)   DFA->18009 NFA->88846
Browsing->(62/1000)   DFA->18009 NFA->89448
Browsing->(63/1000)   DFA->24914 NFA->138074
Browsing->(64/1000)   DFA->18609 NFA->90349
Browsing->(65/1000)   DFA->19511 NFA->86446
Browsing->(66/1000)   DFA->18310 NFA->89749
Browsing->(67/1000)   DFA->26114 NFA->132671
Browsing->(68/1000)   DFA->18911 NFA->89749
Browsing->(69/1000)   DFA->25214 NFA->165387
Browsing->(70/1000)   DFA->42023 NFA->156684
Browsing->(71/1000)   DFA->18309 NFA->107157
Browsing->(72/1000)   DFA->17709 NFA->93050
Browsing->(73/1000)   DFA->26113 NFA->4780071
Browsing->(74/1000)   DFA->25814 NFA->75641
Browsing->(75/1000)   DFA->21312 NFA->110159
Browsing->(76/1000)   DFA->21912 NFA->103557
Browsing->(77/1000)   DFA->15608 NFA->70839
Browsing->(78/1000)   DFA->21611 NFA->101453
Browsing->(79/1000)   DFA->23112 NFA->99052
Browsing->(80/1000)   DFA->15609 NFA->68736
Browsing->(81/1000)   DFA->15308 NFA->67836
Browsing->(82/1000)   DFA->23111 NFA->100855
Browsing->(83/1000)   DFA->15308 NFA->67835
Browsing->(84/1000)   DFA->22812 NFA->105656
Browsing->(85/1000)   DFA->15006 NFA->68737
Browsing->(86/1000)   DFA->20111 NFA->99052
Browsing->(87/1000)   DFA->38421 NFA->168689
Browsing->(88/1000)   DFA->27615 NFA->133571
Browsing->(89/1000)   DFA->39922 NFA->174695
Browsing->(90/1000)   DFA->35719 NFA->160286
Browsing->(91/1000)   DFA->29116 NFA->132372
Browsing->(92/1000)   DFA->40221 NFA->172891
Browsing->(93/1000)   DFA->53730 NFA->175294
Browsing->(94/1000)   DFA->36020 NFA->124568
Browsing->(95/1000)   DFA->38120 NFA->177696
Browsing->(96/1000)   DFA->29716 NFA->120965
Browsing->(97/1000)   DFA->27314 NFA->125167
Browsing->(98/1000)   DFA->40221 NFA->187000
Browsing->(99/1000)   DFA->39320 NFA->169892
Browsing->(100/1000)   DFA->27314 NFA->113161
Browsing->(101/1000)   DFA->37221 NFA->182798
Browsing->(102/1000)   DFA->27314 NFA->120365
Browsing->(103/1000)   DFA->38120 NFA->168992
Browsing->(104/1000)   DFA->15909 NFA->72038
Browsing->(105/1000)   DFA->21010 NFA->103255
Browsing->(106/1000)   DFA->21312 NFA->102357
Browsing->(107/1000)   DFA->15009 NFA->66636
Browsing->(108/1000)   DFA->15008 NFA->68435
Browsing->(109/1000)   DFA->19511 NFA->69037
Browsing->(110/1000)   DFA->23113 NFA->94250
Browsing->(111/1000)   DFA->9605 NFA->44424
Browsing->(112/1000)   DFA->27615 NFA->99053
Browsing->(113/1000)   DFA->20712 NFA->100254
Browsing->(114/1000)   DFA->15608 NFA->68435
Browsing->(115/1000)   DFA->15008 NFA->67837
Browsing->(116/1000)   DFA->15008 NFA->67236
Browsing->(117/1000)   DFA->20111 NFA->97252
Browsing->(118/1000)   DFA->19809 NFA->102355
Browsing->(119/1000)   DFA->15008 NFA->68737
Browsing->(120/1000)   DFA->14408 NFA->72638
Browsing->(121/1000)   DFA->20411 NFA->97251
Browsing->(122/1000)   DFA->19511 NFA->94251
Browsing->(123/1000)   DFA->14708 NFA->77742
Browsing->(124/1000)   DFA->19208 NFA->99052
Browsing->(125/1000)   DFA->19511 NFA->107458
Browsing->(126/1000)   DFA->24013 NFA->97854
Browsing->(127/1000)   DFA->20111 NFA->101153
Browsing->(128/1000)   DFA->19810 NFA->95451
Browsing->(129/1000)   DFA->14107 NFA->68736
Browsing->(130/1000)   DFA->15008 NFA->68736
Browsing->(131/1000)   DFA->20411 NFA->97552
Browsing->(132/1000)   DFA->20710 NFA->103556
Browsing->(133/1000)   DFA->20111 NFA->96653
Browsing->(134/1000)   DFA->16810 NFA->71138
