->>>>IterationNumber<<<<--- : 10
DFA->18
NFA->7
Creation time    DFA->7389073 NFA->1872707
Browsing->(0/1000)   DFA->927498 NFA->1135510
Browsing->(1/1000)   DFA->189402 NFA->593719
Browsing->(2/1000)   DFA->189401 NFA->693373
Browsing->(3/1000)   DFA->208613 NFA->567305
Browsing->(4/1000)   DFA->174693 NFA->579911
Browsing->(5/1000)   DFA->175294 NFA->754906
Browsing->(6/1000)   DFA->176795 NFA->550496
Browsing->(7/1000)   DFA->178896 NFA->645347
Browsing->(8/1000)   DFA->171992 NFA->580513
Browsing->(9/1000)   DFA->183099 NFA->608727
Browsing->(10/1000)   DFA->182498 NFA->534588
Browsing->(11/1000)   DFA->179797 NFA->541492
Browsing->(12/1000)   DFA->173493 NFA->536390
Browsing->(13/1000)   DFA->183099 NFA->520780
Browsing->(14/1000)   DFA->174095 NFA->546893
Browsing->(15/1000)   DFA->183699 NFA->504570
Browsing->(16/1000)   DFA->158785 NFA->536688
Browsing->(17/1000)   DFA->154282 NFA->534288
Browsing->(18/1000)   DFA->169890 NFA->564905
Browsing->(19/1000)   DFA->166291 NFA->519279
Browsing->(20/1000)   DFA->161188 NFA->541191
Browsing->(21/1000)   DFA->156984 NFA->524681
Browsing->(22/1000)   DFA->157285 NFA->516279
Browsing->(23/1000)   DFA->155184 NFA->510574
Browsing->(24/1000)   DFA->156983 NFA->509374
Browsing->(25/1000)   DFA->159087 NFA->345787
Browsing->(26/1000)   DFA->111061 NFA->107157
Browsing->(27/1000)   DFA->168390 NFA->154282
Browsing->(28/1000)   DFA->130272 NFA->114962
Browsing->(29/1000)   DFA->59431 NFA->157886
Browsing->(30/1000)   DFA->36020 NFA->161486
Browsing->(31/1000)   DFA->32117 NFA->190602
Browsing->(32/1000)   DFA->36620 NFA->153082
Browsing->(33/1000)   DFA->34519 NFA->150982
Browsing->(34/1000)   DFA->33018 NFA->141978
Browsing->(35/1000)   DFA->32419 NFA->148580
Browsing->(36/1000)   DFA->29717 NFA->141377
Browsing->(37/1000)   DFA->30017 NFA->158485
Browsing->(38/1000)   DFA->30317 NFA->138373
Browsing->(39/1000)   DFA->31216 NFA->138976
Browsing->(40/1000)   DFA->33318 NFA->153383
Browsing->(41/1000)   DFA->33018 NFA->158485
Browsing->(42/1000)   DFA->30917 NFA->165089
Browsing->(43/1000)   DFA->31217 NFA->146179
Browsing->(44/1000)   DFA->33017 NFA->172594
Browsing->(45/1000)   DFA->30616 NFA->146179
Browsing->(46/1000)   DFA->21611 NFA->105958
Browsing->(47/1000)   DFA->35721 NFA->151281
Browsing->(48/1000)   DFA->32716 NFA->153082
Browsing->(49/1000)   DFA->32418 NFA->146180
Browsing->(50/1000)   DFA->32717 NFA->148581
Browsing->(51/1000)   DFA->31218 NFA->141375
Browsing->(52/1000)   DFA->29417 NFA->150980
Browsing->(53/1000)   DFA->34518 NFA->149180
Browsing->(54/1000)   DFA->28215 NFA->146478
Browsing->(55/1000)   DFA->29117 NFA->144077
Browsing->(56/1000)   DFA->30016 NFA->4720940
Browsing->(57/1000)   DFA->34818 NFA->132672
Browsing->(58/1000)   DFA->43524 NFA->187902
Browsing->(59/1000)   DFA->47125 NFA->225422
Browsing->(60/1000)   DFA->42623 NFA->202608
Browsing->(61/1000)   DFA->55530 NFA->265942
Browsing->(62/1000)   DFA->54029 NFA->274348
Browsing->(63/1000)   DFA->52829 NFA->247034
Browsing->(64/1000)   DFA->49827 NFA->204110
Browsing->(65/1000)   DFA->53429 NFA->206212
Browsing->(66/1000)   DFA->47726 NFA->197505
Browsing->(67/1000)   DFA->45023 NFA->214914
Browsing->(68/1000)   DFA->48927 NFA->135973
Browsing->(69/1000)   DFA->26415 NFA->111361
Browsing->(70/1000)   DFA->25213 NFA->119464
Browsing->(71/1000)   DFA->26415 NFA->84044
Browsing->(72/1000)   DFA->24613 NFA->105356
Browsing->(73/1000)   DFA->24614 NFA->108657
Browsing->(74/1000)   DFA->21912 NFA->78342
Browsing->(75/1000)   DFA->28215 NFA->114362
Browsing->(76/1000)   DFA->25214 NFA->151882
Browsing->(77/1000)   DFA->25214 NFA->148880
Browsing->(78/1000)   DFA->33318 NFA->203808
Browsing->(79/1000)   DFA->47725 NFA->153682
Browsing->(80/1000)   DFA->17710 NFA->72641
Browsing->(81/1000)   DFA->25815 NFA->113462
Browsing->(82/1000)   DFA->25212 NFA->115863
Browsing->(83/1000)   DFA->25514 NFA->108057
Browsing->(84/1000)   DFA->27315 NFA->107758
Browsing->(85/1000)   DFA->26114 NFA->107158
Browsing->(86/1000)   DFA->27314 NFA->111659
Browsing->(87/1000)   DFA->25214 NFA->112560
Browsing->(88/1000)   DFA->24914 NFA->109858
Browsing->(89/1000)   DFA->24014 NFA->117662
Browsing->(90/1000)   DFA->25213 NFA->112862
Browsing->(91/1000)   DFA->25215 NFA->111961
Browsing->(92/1000)   DFA->23714 NFA->105957
Browsing->(93/1000)   DFA->30616 NFA->116161
Browsing->(94/1000)   DFA->25514 NFA->111359
Browsing->(95/1000)   DFA->25814 NFA->132071
Browsing->(96/1000)   DFA->25515 NFA->114960
Browsing->(97/1000)   DFA->24614 NFA->113161
Browsing->(98/1000)   DFA->24614 NFA->106258
