iteracion cada-> 6 documents
->>>>IterationNumber<<<<--- : 6
DFA->2
NFA->2
Creation time    DFA->2799906 NFA->1219256
Browsing->(0/1000)   DFA->6003 NFA->12607
Browsing->(1/1000)   DFA->1801 NFA->5103
Browsing->(2/1000)   DFA->1801 NFA->5103
Browsing->(3/1000)   DFA->1801 NFA->4803
Browsing->(4/1000)   DFA->1801 NFA->5102
Browsing->(5/1000)   DFA->2101 NFA->4802
Browsing->(6/1000)   DFA->1801 NFA->6003
Browsing->(7/1000)   DFA->1801 NFA->4802
Browsing->(8/1000)   DFA->1801 NFA->4803
Browsing->(9/1000)   DFA->2101 NFA->4503
Browsing->(10/1000)   DFA->2101 NFA->4502
Browsing->(11/1000)   DFA->1801 NFA->4503
Browsing->(12/1000)   DFA->2101 NFA->4803
Browsing->(13/1000)   DFA->1801 NFA->4502
Browsing->(14/1000)   DFA->1801 NFA->4502
Browsing->(15/1000)   DFA->1801 NFA->4503
Browsing->(16/1000)   DFA->1801 NFA->6003
Browsing->(17/1000)   DFA->2101 NFA->4503
Browsing->(18/1000)   DFA->1801 NFA->5103
Browsing->(19/1000)   DFA->2101 NFA->4803
Browsing->(20/1000)   DFA->2101 NFA->4503
Browsing->(21/1000)   DFA->2101 NFA->4502
Browsing->(22/1000)   DFA->2401 NFA->5103
Browsing->(23/1000)   DFA->2101 NFA->4802
Browsing->(24/1000)   DFA->2101 NFA->4503
Browsing->(25/1000)   DFA->2102 NFA->4502
Browsing->(26/1000)   DFA->3001 NFA->8705
Browsing->(27/1000)   DFA->3002 NFA->7204
Browsing->(28/1000)   DFA->2401 NFA->9305
Browsing->(29/1000)   DFA->3002 NFA->7203
Browsing->(30/1000)   DFA->2702 NFA->7504
Browsing->(31/1000)   DFA->2701 NFA->13507
Browsing->(32/1000)   DFA->2401 NFA->6904
Browsing->(33/1000)   DFA->2701 NFA->10806
Browsing->(34/1000)   DFA->2701 NFA->6903
Browsing->(35/1000)   DFA->2402 NFA->6903
Browsing->(36/1000)   DFA->2402 NFA->9305
Browsing->(37/1000)   DFA->3002 NFA->7804
Browsing->(38/1000)   DFA->2701 NFA->7804
Browsing->(39/1000)   DFA->3001 NFA->7804
Browsing->(40/1000)   DFA->2702 NFA->7504
Browsing->(41/1000)   DFA->3001 NFA->7504
Browsing->(42/1000)   DFA->2701 NFA->7504
Browsing->(43/1000)   DFA->3002 NFA->7504
Browsing->(44/1000)   DFA->2701 NFA->7804
Browsing->(45/1000)   DFA->2702 NFA->11106
Browsing->(46/1000)   DFA->2401 NFA->9305
Browsing->(47/1000)   DFA->3002 NFA->7804
Browsing->(48/1000)   DFA->2702 NFA->7204
Browsing->(49/1000)   DFA->3001 NFA->7204
Browsing->(50/1000)   DFA->2702 NFA->7504
Browsing->(51/1000)   DFA->1501 NFA->6003
Browsing->(52/1000)   DFA->1801 NFA->7204
Browsing->(53/1000)   DFA->2101 NFA->6904
Browsing->(54/1000)   DFA->2101 NFA->6303
Browsing->(55/1000)   DFA->1501 NFA->5703
Browsing->(56/1000)   DFA->2101 NFA->6304
Browsing->(57/1000)   DFA->1801 NFA->6003
Browsing->(58/1000)   DFA->3002 NFA->6003
Browsing->(59/1000)   DFA->1501 NFA->6304
Browsing->(60/1000)   DFA->1801 NFA->6604
Browsing->(61/1000)   DFA->1801 NFA->7204
Browsing->(62/1000)   DFA->2101 NFA->6303
Browsing->(63/1000)   DFA->4802 NFA->6604
Browsing->(64/1000)   DFA->1501 NFA->6004
Browsing->(65/1000)   DFA->1801 NFA->6003
Browsing->(66/1000)   DFA->1800 NFA->20411
Browsing->(67/1000)   DFA->2101 NFA->6304
Browsing->(68/1000)   DFA->1501 NFA->8104
Browsing->(69/1000)   DFA->1801 NFA->6003
Browsing->(70/1000)   DFA->1801 NFA->6904
Browsing->(71/1000)   DFA->1801 NFA->6904
Browsing->(72/1000)   DFA->2101 NFA->6904
Browsing->(73/1000)   DFA->1801 NFA->6303
Browsing->(74/1000)   DFA->3001 NFA->9305
Browsing->(75/1000)   DFA->1501 NFA->5102
Browsing->(76/1000)   DFA->3602 NFA->9005
Browsing->(77/1000)   DFA->1201 NFA->4203
Browsing->(78/1000)   DFA->1200 NFA->5103
Browsing->(79/1000)   DFA->901 NFA->3602
Browsing->(80/1000)   DFA->900 NFA->3602
Browsing->(81/1000)   DFA->1200 NFA->3602
Browsing->(82/1000)   DFA->1201 NFA->3602
Browsing->(83/1000)   DFA->1201 NFA->3902
Browsing->(84/1000)   DFA->900 NFA->3602
Browsing->(85/1000)   DFA->1201 NFA->3902
Browsing->(86/1000)   DFA->900 NFA->3602
Browsing->(87/1000)   DFA->901 NFA->3902
Browsing->(88/1000)   DFA->901 NFA->3602
Browsing->(89/1000)   DFA->900 NFA->3903
Browsing->(90/1000)   DFA->900 NFA->6604
Browsing->(91/1000)   DFA->900 NFA->3602
Browsing->(92/1000)   DFA->1201 NFA->3903
Browsing->(93/1000)   DFA->900 NFA->3903
Browsing->(94/1000)   DFA->1200 NFA->3902
Browsing->(95/1000)   DFA->3001 NFA->4202
Browsing->(96/1000)   DFA->1200 NFA->3602
Browsing->(97/1000)   DFA->901 NFA->6603
Browsing->(98/1000)   DFA->1201 NFA->3602
Browsing->(99/1000)   DFA->900 NFA->4803
Browsing->(100/1000)   DFA->1200 NFA->3602
Browsing->(101/1000)   DFA->1501 NFA->7203
Browsing->(102/1000)   DFA->1201 NFA->4203
Browsing->(103/1000)   DFA->1200 NFA->8105
Browsing->(104/1000)   DFA->1501 NFA->3902
Browsing->(105/1000)   DFA->1201 NFA->5102
Browsing->(106/1000)   DFA->1801 NFA->5402
Browsing->(107/1000)   DFA->1801 NFA->7805
Browsing->(108/1000)   DFA->1801 NFA->4202
Browsing->(109/1000)   DFA->900 NFA->5103
Browsing->(110/1000)   DFA->1201 NFA->3602
Browsing->(111/1000)   DFA->1200 NFA->3602
Browsing->(112/1000)   DFA->900 NFA->5703
Browsing->(113/1000)   DFA->1201 NFA->3903
Browsing->(114/1000)   DFA->901 NFA->3602
Browsing->(115/1000)   DFA->1200 NFA->3602
Browsing->(116/1000)   DFA->900 NFA->3602
Browsing->(117/1000)   DFA->1201 NFA->3602
Browsing->(118/1000)   DFA->2102 NFA->5102
Browsing->(119/1000)   DFA->1200 NFA->3902
Browsing->(120/1000)   DFA->1200 NFA->3902
Browsing->(121/1000)   DFA->1201 NFA->3902
Browsing->(122/1000)   DFA->1501 NFA->3902
Browsing->(123/1000)   DFA->1200 NFA->3602
Browsing->(124/1000)   DFA->1201 NFA->10506
Browsing->(125/1000)   DFA->1500 NFA->5103
Browsing->(126/1000)   DFA->1201 NFA->4202
Browsing->(127/1000)   DFA->19811 NFA->12306
Browsing->(128/1000)   DFA->2101 NFA->6904
Browsing->(129/1000)   DFA->1201 NFA->3902
Browsing->(130/1000)   DFA->901 NFA->4802
Browsing->(131/1000)   DFA->1201 NFA->3902
Browsing->(132/1000)   DFA->901 NFA->4803
Browsing->(133/1000)   DFA->900 NFA->3902
Browsing->(134/1000)   DFA->1201 NFA->3902
Browsing->(135/1000)   DFA->1201 NFA->3602
Browsing->(136/1000)   DFA->901 NFA->3602
Browsing->(137/1000)   DFA->1201 NFA->3602
Browsing->(138/1000)   DFA->1201 NFA->3902
Browsing->(139/1000)   DFA->1201 NFA->3602
Browsing->(140/1000)   DFA->900 NFA->3903
Browsing->(141/1000)   DFA->2101 NFA->3602
