DFA->2324
NFA->1179
Creation time    DFA->4960863156 NFA->39734466
Browsing->(0)   DFA->48162396 NFA->780494368
Browsing->(1)   DFA->19791440 NFA->157728810
Browsing->(2)   DFA->31445807 NFA->404013040
Browsing->(3)   DFA->23686036 NFA->313564503
Browsing->(4)   DFA->20959069 NFA->163574154
Browsing->(5)   DFA->21021503 NFA->380124993
Browsing->(6)   DFA->16504676 NFA->302714870
Browsing->(7)   DFA->16884078 NFA->280061988
Browsing->(8)   DFA->18318849 NFA->258469279
Browsing->(9)   DFA->11979143 NFA->57284003
Browsing->(10)   DFA->16356995 NFA->267313233
Browsing->(11)   DFA->14795256 NFA->106229220
Browsing->(12)   DFA->12957967 NFA->60602285
Browsing->(13)   DFA->16154987 NFA->292860273
Browsing->(14)   DFA->14872096 NFA->254056905
Browsing->(15)   DFA->15065701 NFA->92599791
Browsing->(16)   DFA->15358659 NFA->160592050
Browsing->(17)   DFA->18323954 NFA->159546588
Browsing->(18)   DFA->12952265 NFA->58368483
Browsing->(19)   DFA->13998027 NFA->165113682
Browsing->(20)   DFA->13887268 NFA->157084363
Browsing->(21)   DFA->13497057 NFA->155574553
Browsing->(22)   DFA->12789576 NFA->58267931
Browsing->(23)   DFA->14866995 NFA->104524902
Browsing->(24)   DFA->13540881 NFA->155542736
Browsing->(25)   DFA->12639497 NFA->43386229
Browsing->(26)   DFA->14954942 NFA->187792075
Browsing->(27)   DFA->14862493 NFA->195575860
Browsing->(28)   DFA->15440602 NFA->240365045
Browsing->(29)   DFA->12988885 NFA->56478369
Browsing->(30)   DFA->15261705 NFA->85648652
Browsing->(31)   DFA->14938131 NFA->204521272
Browsing->(32)   DFA->14934829 NFA->77610932
Browsing->(33)   DFA->13357182 NFA->80276665
Browsing->(34)   DFA->12593871 NFA->82813628
Browsing->(35)   DFA->12284103 NFA->44968078
Browsing->(36)   DFA->12452496 NFA->41580458
Browsing->(37)   DFA->13931991 NFA->78844295
Browsing->(38)   DFA->14433559 NFA->86487903
Browsing->(39)   DFA->22737826 NFA->223474963
Browsing->(40)   DFA->15795694 NFA->207820649
Browsing->(41)   DFA->14851987 NFA->188286741
Browsing->(42)   DFA->9793064 NFA->9293896
Browsing->(43)   DFA->11347302 NFA->38607960
Browsing->(44)   DFA->12331832 NFA->45889274
Browsing->(45)   DFA->15044690 NFA->209823621
Browsing->(46)   DFA->13539079 NFA->80623052
Browsing->(47)   DFA->14304491 NFA->188590203
Browsing->(48)   DFA->14099480 NFA->108803704
Browsing->(49)   DFA->15364961 NFA->200628779
Browsing->(50)   DFA->16369002 NFA->202841867
Browsing->(51)   DFA->9783459 NFA->3201820
Browsing->(52)   DFA->10064111 NFA->6391336
Browsing->(53)   DFA->15846719 NFA->219436590
Browsing->(54)   DFA->14510403 NFA->188183786
Browsing->(55)   DFA->11983644 NFA->55353963
Browsing->(56)   DFA->15628503 NFA->228737093
Browsing->(57)   DFA->17696616 NFA->200075881
Browsing->(58)   DFA->19582227 NFA->86177236
Browsing->(59)   DFA->17509014 NFA->45241527
Browsing->(60)   DFA->16387613 NFA->219568363
Browsing->(61)   DFA->15532151 NFA->229682000
Browsing->(62)   DFA->16302965 NFA->220757301
Browsing->(63)   DFA->12433586 NFA->52621594
Browsing->(64)   DFA->12803985 NFA->39760579
Browsing->(65)   DFA->14155611 NFA->105406777
Browsing->(66)   DFA->15589483 NFA->217806714
Browsing->(67)   DFA->14629267 NFA->181845578
Browsing->(68)   DFA->16023216 NFA->221081775
Browsing->(69)   DFA->12496320 NFA->46444874
Browsing->(70)   DFA->13891770 NFA->104336703
Browsing->(71)   DFA->15015275 NFA->202353806
Browsing->(72)   DFA->10109437 NFA->11630355
Browsing->(73)   DFA->12760163 NFA->79773595
Browsing->(74)   DFA->12580066 NFA->74030605
Browsing->(75)   DFA->13483250 NFA->80816656
Browsing->(76)   DFA->9797269 NFA->8301563
Browsing->(77)   DFA->16655357 NFA->233649533
Browsing->(78)   DFA->12092602 NFA->74662445
Browsing->(79)   DFA->15943973 NFA->167574404
Browsing->(80)   DFA->10438413 NFA->8939707
Browsing->(81)   DFA->16442542 NFA->200430672
Browsing->(82)   DFA->14295786 NFA->80666576
Browsing->(83)   DFA->13032707 NFA->56562715
Browsing->(84)   DFA->13529177 NFA->56859273
Browsing->(85)   DFA->14499896 NFA->181472778
Browsing->(86)   DFA->16496569 NFA->222012876
Browsing->(87)   DFA->9419664 NFA->10486437
Browsing->(88)   DFA->16136377 NFA->216425372
Browsing->(89)   DFA->15712249 NFA->217732573
Browsing->(90)   DFA->12523637 NFA->87425010
Browsing->(91)   DFA->14685395 NFA->215898590
Browsing->(92)   DFA->14372030 NFA->75058359
Browsing->(93)   DFA->13068127 NFA->70901723
Browsing->(94)   DFA->11075655 NFA->35308586
Browsing->(95)   DFA->13722479 NFA->155285196
Browsing->(96)   DFA->14066762 NFA->107527117
Browsing->(97)   DFA->15063299 NFA->206162254
Browsing->(98)   DFA->14750232 NFA->192551135
Browsing->(99)   DFA->15666924 NFA->226898305
Browsing->(100)   DFA->14302689 NFA->43579532
Browsing->(101)   DFA->15751570 NFA->230673734
Browsing->(102)   DFA->12936055 NFA->78584055
Browsing->(103)   DFA->16787126 NFA->102491310
Browsing->(104)   DFA->13299852 NFA->60854721
Browsing->(105)   DFA->14358220 NFA->80847873
Browsing->(106)   DFA->11862379 NFA->41039867
Browsing->(107)   DFA->11751320 NFA->45829543
Browsing->(108)   DFA->13808623 NFA->85818245
Browsing->(109)   DFA->13036010 NFA->71180572
Browsing->(110)   DFA->9619871 NFA->9017448
Browsing->(111)   DFA->15941573 NFA->195533837
Browsing->(112)   DFA->12710635 NFA->56072549
Browsing->(113)   DFA->13654643 NFA->74494055
Browsing->(114)   DFA->13918784 NFA->106780916
Browsing->(115)   DFA->11853372 NFA->42655336
Browsing->(116)   DFA->12012459 NFA->43134394
Browsing->(117)   DFA->14416150 NFA->191686068
Browsing->(118)   DFA->13978816 NFA->81543347
Browsing->(119)   DFA->14512203 NFA->202504187
Browsing->(120)   DFA->13063325 NFA->73555750
Browsing->(121)   DFA->14976552 NFA->213655781
Browsing->(122)   DFA->15166255 NFA->216135417
Browsing->(123)   DFA->15230190 NFA->190726154
Browsing->(124)   DFA->13940094 NFA->82740989
Browsing->(125)   DFA->12156237 NFA->79228501
Browsing->(126)   DFA->14203337 NFA->190667622
Browsing->(127)   DFA->11624051 NFA->36407476
Browsing->(128)   DFA->12162539 NFA->73687821
Browsing->(129)   DFA->14934231 NFA->212170582
Browsing->(130)   DFA->15039585 NFA->231591626
Browsing->(131)   DFA->13504261 NFA->102930446
Browsing->(132)   DFA->17638085 NFA->223865472
Browsing->(133)   DFA->16037023 NFA->192665196
Browsing->(134)   DFA->14339612 NFA->197277477
Browsing->(135)   DFA->12416474 NFA->47313240
Browsing->(136)   DFA->13805324 NFA->91159617
Browsing->(137)   DFA->16465053 NFA->195476507
Browsing->(138)   DFA->15420792 NFA->215646752
Browsing->(139)   DFA->13726680 NFA->149162807
Browsing->(140)   DFA->12064387 NFA->68443101
Browsing->(141)   DFA->15518944 NFA->213896213
Browsing->(142)   DFA->15528250 NFA->224052775
Browsing->(143)   DFA->14351617 NFA->69627538
Browsing->(144)   DFA->12209363 NFA->43772236
Browsing->(145)   DFA->13293848 NFA->77865469
Browsing->(146)   DFA->15343950 NFA->192249173
Browsing->(147)   DFA->13648338 NFA->116607900
Browsing->(148)   DFA->13683458 NFA->154761715
Browsing->(149)   DFA->14157714 NFA->190902649
Browsing->(150)   DFA->12469906 NFA->80958033
Browsing->(151)   DFA->13747392 NFA->181078666
Browsing->(152)   DFA->13808627 NFA->94596465
Browsing->(153)   DFA->15472720 NFA->211393168
Browsing->(154)   DFA->14131598 NFA->189934029
Browsing->(155)   DFA->13228413 NFA->158922252
Browsing->(156)   DFA->12981981 NFA->46115897
Browsing->(157)   DFA->22697304 NFA->224624280
Browsing->(158)   DFA->13702067 NFA->182276610
Browsing->(159)   DFA->11286970 NFA->53342282
Browsing->(160)   DFA->14972350 NFA->95014889
Browsing->(161)   DFA->13504261 NFA->74714975
