DFA->31099
NFA->2525
Creation time    DFA->28399680808 NFA->453555877
Browsing->(0/1000)   DFA->38017840 NFA->537526928
Browsing->(1/1000)   DFA->9525923 NFA->243193765
Browsing->(2/1000)   DFA->4939156 NFA->198828712
Browsing->(3/1000)   DFA->4137426 NFA->241924383
Browsing->(4/1000)   DFA->3525396 NFA->123612768
Browsing->(5/1000)   DFA->3471667 NFA->159906183
Browsing->(6/1000)   DFA->3262152 NFA->98319365
Browsing->(7/1000)   DFA->3729199 NFA->138277454
Browsing->(8/1000)   DFA->4384456 NFA->187720636
Browsing->(9/1000)   DFA->3572224 NFA->94653194
Browsing->(10/1000)   DFA->3936622 NFA->130535992
Browsing->(11/1000)   DFA->3397827 NFA->146676868
Browsing->(12/1000)   DFA->3631351 NFA->105170250
Browsing->(13/1000)   DFA->3400226 NFA->119689961
Browsing->(14/1000)   DFA->6240655 NFA->207710784
Browsing->(15/1000)   DFA->3413135 NFA->95088128
Browsing->(16/1000)   DFA->3486074 NFA->94206555
Browsing->(17/1000)   DFA->5320060 NFA->163090597
Browsing->(18/1000)   DFA->4543844 NFA->160594455
Browsing->(19/1000)   DFA->3394826 NFA->109042331
Browsing->(20/1000)   DFA->3409234 NFA->156634120
Browsing->(21/1000)   DFA->3571019 NFA->106349284
Browsing->(22/1000)   DFA->3725903 NFA->136577941
Browsing->(23/1000)   DFA->3637357 NFA->104335201
Browsing->(24/1000)   DFA->3814749 NFA->167893475
Browsing->(25/1000)   DFA->3773327 NFA->147396955
Browsing->(26/1000)   DFA->3095865 NFA->82556691
Browsing->(27/1000)   DFA->3714497 NFA->172585299
Browsing->(28/1000)   DFA->3307778 NFA->113113420
Browsing->(29/1000)   DFA->3722906 NFA->136336008
Browsing->(30/1000)   DFA->3651766 NFA->174325935
Browsing->(31/1000)   DFA->3178109 NFA->97818698
Browsing->(32/1000)   DFA->3957027 NFA->146755214
Browsing->(33/1000)   DFA->3748714 NFA->180502057
Browsing->(34/1000)   DFA->3502582 NFA->106243028
Browsing->(35/1000)   DFA->3980442 NFA->143679457
Browsing->(36/1000)   DFA->3498683 NFA->141476873
Browsing->(37/1000)   DFA->3158897 NFA->92366263
Browsing->(38/1000)   DFA->4021863 NFA->106350183
Browsing->(39/1000)   DFA->4310614 NFA->140532866
Browsing->(40/1000)   DFA->3543107 NFA->150128424
Browsing->(41/1000)   DFA->3631952 NFA->120165110
Browsing->(42/1000)   DFA->4175245 NFA->106651851
Browsing->(43/1000)   DFA->3284665 NFA->95926479
Browsing->(44/1000)   DFA->3264857 NFA->106296457
Browsing->(45/1000)   DFA->3266355 NFA->96615050
Browsing->(46/1000)   DFA->3690785 NFA->100067508
Browsing->(47/1000)   DFA->3471670 NFA->126053978
Browsing->(48/1000)   DFA->3517289 NFA->125667369
Browsing->(49/1000)   DFA->3728308 NFA->148635725
Browsing->(50/1000)   DFA->3450358 NFA->109177706
Browsing->(51/1000)   DFA->3435045 NFA->99218948
Browsing->(52/1000)   DFA->4243383 NFA->157605443
Browsing->(53/1000)   DFA->3869379 NFA->133143488
Browsing->(54/1000)   DFA->3118676 NFA->83539420
Browsing->(55/1000)   DFA->3304474 NFA->123788363
Browsing->(56/1000)   DFA->3822554 NFA->139427671
Browsing->(57/1000)   DFA->3705795 NFA->146968324
Browsing->(58/1000)   DFA->3768527 NFA->131794268
Browsing->(59/1000)   DFA->3876284 NFA->116269915
Browsing->(60/1000)   DFA->4426781 NFA->150339136
Browsing->(61/1000)   DFA->3677279 NFA->103574593
Browsing->(62/1000)   DFA->3719900 NFA->136039449
Browsing->(63/1000)   DFA->3160700 NFA->103418805
Browsing->(64/1000)   DFA->4338233 NFA->154201918
Browsing->(65/1000)   DFA->3864575 NFA->102903430
Browsing->(66/1000)   DFA->3670673 NFA->140181676
Browsing->(67/1000)   DFA->3880184 NFA->148952688
Browsing->(68/1000)   DFA->3188314 NFA->98898078
Browsing->(69/1000)   DFA->3743014 NFA->142313423
Browsing->(70/1000)   DFA->3696790 NFA->114791922
Browsing->(71/1000)   DFA->3671274 NFA->137733557
Browsing->(72/1000)   DFA->3475269 NFA->118270192
Browsing->(73/1000)   DFA->3502882 NFA->99115392
Browsing->(74/1000)   DFA->3424540 NFA->103401400
Browsing->(75/1000)   DFA->3142987 NFA->97283206
Browsing->(76/1000)   DFA->3964532 NFA->137665122
Browsing->(77/1000)   DFA->3498382 NFA->131331417
Browsing->(78/1000)   DFA->3747815 NFA->124357765
Browsing->(79/1000)   DFA->3464161 NFA->125603136
Browsing->(80/1000)   DFA->3729808 NFA->91164118
Browsing->(81/1000)   DFA->3383719 NFA->107580851
Browsing->(82/1000)   DFA->4214566 NFA->132906663
Browsing->(83/1000)   DFA->3884089 NFA->139966162
Browsing->(84/1000)   DFA->3567418 NFA->117752416
Browsing->(85/1000)   DFA->3310477 NFA->106920789
Browsing->(86/1000)   DFA->3554513 NFA->149044541
Browsing->(87/1000)   DFA->4616481 NFA->170353604
Browsing->(88/1000)   DFA->3497483 NFA->106026009
Browsing->(89/1000)   DFA->4258393 NFA->147806675
Browsing->(90/1000)   DFA->3269961 NFA->88337503
Browsing->(91/1000)   DFA->3770928 NFA->153026184
Browsing->(92/1000)   DFA->3625348 NFA->120324202
Browsing->(93/1000)   DFA->6465478 NFA->101869978
Browsing->(94/1000)   DFA->3689283 NFA->157583231
