DFA->38404
NFA->6208
Creation time    DFA->2207737200 NFA->298954748
Browsing->(0/1000)   DFA->32024217 NFA->59121590
Browsing->(1/1000)   DFA->14805162 NFA->103929684
Browsing->(2/1000)   DFA->4925949 NFA->136633169
Browsing->(3/1000)   DFA->3973534 NFA->21672555
Browsing->(4/1000)   DFA->4986284 NFA->42922781
Browsing->(5/1000)   DFA->2484736 NFA->64729204
Browsing->(6/1000)   DFA->2205885 NFA->30400047
Browsing->(7/1000)   DFA->2296833 NFA->31800899
Browsing->(8/1000)   DFA->2170469 NFA->18047505
Browsing->(9/1000)   DFA->2408496 NFA->37646240
Browsing->(10/1000)   DFA->2503647 NFA->25281392
Browsing->(11/1000)   DFA->1843592 NFA->14716614
Browsing->(12/1000)   DFA->2727266 NFA->35660377
Browsing->(13/1000)   DFA->2562178 NFA->28304622
Browsing->(14/1000)   DFA->2435212 NFA->31006974
Browsing->(15/1000)   DFA->2012281 NFA->30669293
Browsing->(16/1000)   DFA->1884415 NFA->16297561
Browsing->(17/1000)   DFA->2110135 NFA->23402085
Browsing->(18/1000)   DFA->2273724 NFA->25700719
Browsing->(19/1000)   DFA->1915929 NFA->15015275
Browsing->(20/1000)   DFA->2346963 NFA->35379122
Browsing->(21/1000)   DFA->2310644 NFA->50410007
Browsing->(22/1000)   DFA->2275523 NFA->24498274
Browsing->(23/1000)   DFA->2044699 NFA->23481626
Browsing->(24/1000)   DFA->1981065 NFA->21765004
Browsing->(25/1000)   DFA->2055505 NFA->24729998
Browsing->(26/1000)   DFA->2226896 NFA->29721379
Browsing->(27/1000)   DFA->1762846 NFA->15009572
Browsing->(28/1000)   DFA->2390785 NFA->34789308
Browsing->(29/1000)   DFA->2039594 NFA->17283894
Browsing->(30/1000)   DFA->2281226 NFA->32084851
Browsing->(31/1000)   DFA->2070814 NFA->19236745
Browsing->(32/1000)   DFA->1950449 NFA->18311645
Browsing->(33/1000)   DFA->2168667 NFA->31157956
Browsing->(34/1000)   DFA->2265018 NFA->30538120
Browsing->(35/1000)   DFA->2355968 NFA->26274927
Browsing->(36/1000)   DFA->2206785 NFA->29656247
Browsing->(37/1000)   DFA->2289930 NFA->30372732
Browsing->(38/1000)   DFA->2201083 NFA->25917435
Browsing->(39/1000)   DFA->2168367 NFA->25977168
Browsing->(40/1000)   DFA->2355365 NFA->25860705
Browsing->(41/1000)   DFA->2177371 NFA->40667067
Browsing->(42/1000)   DFA->2120639 NFA->15765977
Browsing->(43/1000)   DFA->1690508 NFA->14849885
Browsing->(44/1000)   DFA->2202285 NFA->34843937
Browsing->(45/1000)   DFA->2450820 NFA->30782751
Browsing->(46/1000)   DFA->1773656 NFA->14552424
Browsing->(47/1000)   DFA->2099029 NFA->24853363
Browsing->(48/1000)   DFA->1859201 NFA->14684196
Browsing->(49/1000)   DFA->2325051 NFA->28342439
Browsing->(50/1000)   DFA->2204685 NFA->30643775
Browsing->(51/1000)   DFA->1864902 NFA->12902436
Browsing->(52/1000)   DFA->2422001 NFA->21328268
Browsing->(53/1000)   DFA->1949549 NFA->17500612
Browsing->(54/1000)   DFA->2583190 NFA->34662037
Browsing->(55/1000)   DFA->2047701 NFA->20685322
Browsing->(56/1000)   DFA->2371575 NFA->30910620
Browsing->(57/1000)   DFA->2319348 NFA->30977255
Browsing->(58/1000)   DFA->1889216 NFA->15153048
Browsing->(59/1000)   DFA->2192678 NFA->25874511
Browsing->(60/1000)   DFA->2253009 NFA->26553179
Browsing->(61/1000)   DFA->2275821 NFA->31046294
Browsing->(62/1000)   DFA->1951048 NFA->30727524
Browsing->(63/1000)   DFA->2183674 NFA->29952804
Browsing->(64/1000)   DFA->2260215 NFA->30809167
Browsing->(65/1000)   DFA->1988567 NFA->22770545
Browsing->(66/1000)   DFA->2188774 NFA->25958256
Browsing->(67/1000)   DFA->2245206 NFA->26042602
Browsing->(68/1000)   DFA->2183975 NFA->29797622
Browsing->(69/1000)   DFA->1881712 NFA->16931505
Browsing->(70/1000)   DFA->2232901 NFA->31074505
Browsing->(71/1000)   DFA->2158759 NFA->25739741
Browsing->(72/1000)   DFA->2236803 NFA->31201177
